Abstract,Task 1
"In this line, it has been observed that this important information is often stored in one of the millions of spreadsheets created every year, due to simplicity in using and manipulating such an artifact.",BACKGROUND
"As robots become increasingly prevalent in human environments, there will inevitably be times when a robot needs to interrupt a human to initiate an interaction.",BACKGROUND/OBJECTIVES
The neurophysiology analysis showed that phase features have higher signal-to-noise ratio than the other features.,RESULTS
The randomness of the EV driver behaviors make the optimal charging or discharging scheduling even more difficult due to the uncertain charging session parameters.,BACKGROUND
We also provide new evidence about the effectiveness of neural network approaches by decoupling the model architecture from the feature design of a state-of-the-art neural network system.,OBJECTIVES/METHODS
"In recent years, heatmap regression based models have shown their effectiveness in face alignment and pose estimation.",BACKGROUND
"Conventionally, classification schemes are founded on the empirical knowledge of the group of experts; thus, the experts' perspectives have influenced the current systems of scientific classification.",BACKGROUND
"But GAs are also unusual since the features of many implementations (among all that could be thought of) are principally led by the biological metaphor, while efficiency measurements intervene only afterwards.",BACKGROUND
"The learned body parts can release some difficulties, eg pose variations and background clutters, in part-based representation.",METHODS
"Then, the genre of a music is determined by splitting it into short segments and then combining CNN's predictions from all short segments.",METHODS
"We measure the False Error Aware MVF (FEA) and related metrics precisely in a cycle-accurate simulator, and compare them with the effects of injecting faults in a program's data, in native parallel runs.",METHODS
"Until now, there are two problems with the automatic parking.",BACKGROUND
Generative models in vision have seen rapid progress due to algorithmic improvements and the availability of high-quality image datasets.,BACKGROUND
"In this paper, we address the shape-from-shading problem by training deep networks with synthetic images.",OBJECTIVES
The protection of confidential image data from unauthorized access is an important area of research in network communication.,BACKGROUND
Targeting JavaScript makes (C)LP programs executable in virtually every modern computing device with no additional software requirements from the point of view of the user.,RESULTS
"Two approaches are proposed for cross-pose face recognition, one is based on the 3D reconstruction of facial components and the other is based on the deep Convolutional Neural Network (CNN).",METHODS
We explore this problem in two steps.,METHODS
The system processes raw CT data containing a nodule without the need for any additional information such as nodule segmentation or nodule size and learns a representation of 3D data by analyzing an arbitrary number of 2D views of a given nodule.,METHODS
We introduce a general framework to treat such problems when the alternative hypothesis adheres to certain axioms.,RESULTS
"Furthermore, the algorithm has favorable properties for parallel and distributed implementation.",RESULTS/CONCLUSIONS
Comparison of classifiers has found that naive Bayesian classifier is more accurate and better than the C [NUM]  DTC.,CONCLUSIONS
"After re-examining the drawbacks of attention mechanism and the obstacles that block CNN to perform well in this classification task, we propose a new model to overcome these issues.",OBJECTIVES
The effectiveness of current tools relies on the app model as well as the malware detection algorithm which analyzes the app model.,BACKGROUND
An accurate modeling of skin effect inside conductors is of capital importance to solve transmission line and scattering problems.,BACKGROUND
"NOMA) is more suited to deployments with little (resp. large) inter-user channel strength disparity and large (resp. little) inter-cell channel disparity, while RSMA is suited to any deployment.",RESULTS/CONCLUSIONS
SIDF can characterize the difference between the background and pedestrian and the difference between the pedestrian contour and its inner part.,METHODS
Mafia (also called Werewolf) is a party game.,BACKGROUND
"First, we correct STE by forming the ranks for the future samples of the response system with regard to the current reconstructed vector.",OBJECTIVES
"The traditional manual judgment methods are expensive, time-consuming, unrepeatable, and sometimes with low agreement.",BACKGROUND
"Finally, our approach is purely data-driven and does not require any hand-designed features: robust tracking is automatically learned from data.",CONCLUSIONS
"In this work we introduce a simple, efficient zero-shot learning approach based on this observation.",OBJECTIVES
TRECVID MED 2011) and image (i.e.,RESULTS
"To this end, we establish a duality relation between the performance of sigma-delta modulation, and that of differential pulse-code modulation when applied to (discrete-time) band-limited inputs.",METHODS
An important challenge in neuroevolution is to evolve complex neural networks with multiple modes of behavior.,BACKGROUND/OBJECTIVES
We incorporate this uncertainty into a sliding window stereo visual odometry pipeline where accurate uncertainty estimates are critical for optimal data fusion.,METHODS
Interactive Music Systems (IMS) have introduced a new world of music-making modalities.,BACKGROUND
"Towards resolving this question, we provide a geometric characterization in terms of unique sink orientations of the 1-skeletons of associated cubical complexes.",RESULTS
Grounding: Having a prototype implementation we focused on feasibility evaluation.,RESULTS/CONCLUSIONS
This paper proposes an approach towards Phishing Detection Using Rough Set Theory.,OBJECTIVES
The numerical results confirm that the variable-rate HARQ can increase the throughput significantly comparing to its fixed-rate counterpart.,RESULTS/CONCLUSIONS
The BPMN standard is an essential guide for tools' makers when implementing the rules regarding depiction of BPMN diagrammatic constructs.,BACKGROUND
"Nevertheless, many current models treat the hierarchical features on different channels equivalently, which is not helpful for the models to deal with the hierarchical features discriminatively and targetedly.",OBJECTIVES
"Because cochlear models capture the intrinsic nonlinearities and dynamics of peripheral auditory processing, it is shown here that accounting for their deterministic signal processing improves machine hearing and avoids overtraining of multi-layer DNNs.",CONCLUSIONS
"This underlying assumption significantly simplifies knowledge representation and extraction, and it is vital to many existing technologies such as automated knowledge base construction, cross-lingual knowledge alignment, semantic search and data lineage of Wikipedia entities.",BACKGROUND
Experiments demonstrate that the new algorithm accelerates the training of deep architectures compared to DOWNPOUR and other common baseline approaches and furthermore is very communication efficient.,RESULTS
"Consider a multi-cloud radio access network, where each cloud is connected to several base-stations (BSs) via high capacity links, and therefore allows joint signal processing between them.",BACKGROUND
Our empirical study confirms the potential of our parallelisation scheme with fixed numbers of processors and instances in realistic application scenarios.,RESULTS/CONCLUSIONS
Symmetry is an important composition feature by investigating similar sides inside an image plane.,BACKGROUND
"Paul Ekman et al., devised the Facial Action Coding System (FACS) to taxonomize human facial expressions and model their behavior.",BACKGROUND
Data driven segmentation is the powerhouse behind the success of online advertising.,BACKGROUND
"Finally, we expose some experimental results showing utility of this approach.",RESULTS/CONCLUSIONS
"In this encyclopaedic data set, we observe the interplay between the number of edits and the degree of inequality.",RESULTS
This inverted operation of Boolean gates is particularly striking: They provide inputs consistent to a given output along with unique outputs to a given set of inputs.,BACKGROUND
"Moreover, we also design post-processing algorithms to construct 3rd-order polynomial models to fit into the curved lanes.",METHODS
"Existing approaches for automatic multi-article layout focus exclusively on maximizing content (number of articles) and optimizing aesthetic presentation (e.g., spacing between articles).",BACKGROUND
"In order to improve usability and safety, modern unmanned aerial vehicles (UAVs) are equipped with sensors to monitor the environment, such as laser-scanners and cameras.",BACKGROUND
"Moreover, experimental results show that the proposed method outperforms the state-of-the-art methods in gender classification and age estimation.",CONCLUSIONS
"We propose a method to learn a distribution of shape trajectories from longitudinal data, i.e. the collection of individual objects repeatedly observed at multiple time-points.",BACKGROUND/OBJECTIVES
This skeleton is then completed in a second step by the Event-B specification obtained from system application domain properties that gives rise to the system structure.,BACKGROUND
The abundance of poorly optimized mobile applications coupled with their increasing centrality in our digital lives make a framework for mobile app optimization an imperative.,BACKGROUND
"We consider the computation of Bernoulli, Tangent (zag), and Secant (zig or Euler) numbers.",BACKGROUND
"Universities and research centers in Spain are subject to a national open access (OA) mandate and to their own OA institutional policies, if any, but compliance with these requirements has not been fully monitored yet.",BACKGROUND
"In addition, we propose a model which avoids randomly sampling a number of Fourier frequencies, and alternatively learns the optimal ones within a variational Bayes approach.",METHODS
"Methods to measure trustworthiness of news organizations and audience news engagement, as well as scalable algorithms to compute them from large-scale datasets, are also proposed.",OBJECTIVES
"Finally, we introduce a tropical entropy of a vector and provide some bounds on it.",OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
This forgery occurs when parts of the image are copied and duplicated elsewhere in the same image.,RESULTS
"Here, we leverage this game theoretic view to study the convergence behavior of the training process.",METHODS/CONCLUSIONS
We consider the representation difference of attribute names in various data sources and propose ED Join and Semantic Join algorithms to integrate attributes with different representations.,METHODS
"This paper is about the kinematics, the workspace and singularity analysis of a 3-PRPiR parallel robot involving lockable Pi and R (revolute) joints.",OBJECTIVES
"We also found that virtual hosted desktops are equally simple to use, provide greater flexibility in choice of configuration, and may actually be a more cost-effective option for typical usage profiles.",RESULTS/CONCLUSIONS
Thus one can use the new operator for the analysis of total variation and higher order functionals like total-generalized-variation (TGV).,RESULTS/CONCLUSIONS
"Furthermore, we present a detailed evaluation of the system through experimentation on a benchmark dataset of surveillance videos.",RESULTS
We present a hybrid quantum-classical algorithm to solve 3SAT problems involving n>>M variables that significantly speeds up its fully classical counterpart.,RESULTS
"Most CNN implementations use an autoencoder method; stereo images are encoded, merged and finally decoded to predict the disparity map.",BACKGROUND
"Finally, we validate our theoretical results on a case study of New York City.",METHODS
The inaccuracies of system modeling are also considered in the control design.,METHODS
"This approach lies in removing additional child windows from IDE, thus allowing a user to keep only text editor window open.",METHODS/RESULTS
"We implement the system as an annotation-based Java typechecker for Android programs built upon the popular ReactiveX framework and evaluate its efficacy by annotating and analyzing 8 open-source apps, where we find 33 instances of unsafe UI access while incurring an annotation burden of only one annotation per 186 source lines of code.",METHODS/RESULTS/CONCLUSIONS
"Of such challenges, evolved user demands on personalized applications.",BACKGROUND
"We additionally evaluate the utility of machine translation in human assisted environments, where a portion of the traffic is processed by analysts.",OBJECTIVES
This paper investigates a discrete version of the problem where the robots are operating on a two dimensional infinite grid.,OBJECTIVES
"In the considered game, not only each player's local objective function depends on other players' decisions, but also the feasible decision sets of all the players are coupled together with a globally shared affine inequality constraint.",BACKGROUND
We establish a theoretical framework for global stability guarantees with respect to a distribution.,RESULTS
The benchmark may be extended to model other scenarios.,METHODS
Our data set consists of weekly counts of cyber events over approximately seven years.,METHODS
Our method improves the recall and precision metrics for the object detection task compared to the vanilla background subtraction method and improves the CLEAR MOT metrics in the tracking tasks for most videos.,CONCLUSIONS
"The identification of reduced-order models from high-dimensional data is a challenging task, and even more so if the identified system should not only be suitable for a certain data set, but generally approximate the input-output behavior of the data source.",BACKGROUND
SEDGE is an extension of SDG.,METHODS
Here we introduce a possibility to address a message to a given neighbour.,OBJECTIVES
This paper presents two techniques under block-based classification.,OBJECTIVES
"In our experiments, we construct and evaluate surrogate benchmarks for hyperparameter optimization as well as for AC problems that involve performance optimization of solvers for hard combinatorial problems, drawing training data from the runs of existing AC procedures.",METHODS
Analysis of informative contents and sentiments of social users has been attempted quite intensively in the recent past.,BACKGROUND
"We also address the problem of high class imbalance within issue datasets - when local data fails to train a good model, we show that cross-project data can be used in place of the local data.",OBJECTIVES/RESULTS/CONCLUSIONS
"We introduce a novel ""BiDeep"" RNN architecture that combines deep transition RNNs and stacked RNNs.",OBJECTIVES/METHODS
We also propose a memory network of full-orientation matching of the query and passage to catch more pivotal information.,METHODS
"Detecting early signs of a potential churn, recognizing what the customer is looking for by the movement and automating personalized win back campaigns are essential to sustain business in this era of competition.",OBJECTIVES
This questionnaire was sent to 87 domain experts within all public and private universities in Pakistani.,METHODS
"With the ubiquity of large-scale graph data in a variety of application domains, querying them effectively is a challenge.",BACKGROUND
We argue that the cropping and resizing procedure largely eliminates the effects of rescaling and of view angle.,METHODS
"Since the designed NN-OPT method is decentralized that only requires the local measurements, plug & play of UCs can be easily realized with minimal communication efforts.",METHODS
"However, there is no well-defined basis for performing effective feature engineering.",BACKGROUND
"This paper shows that adversarial training has a regularizing effect also in networks with logistic, hyperbolic tangent and rectified linear units.",RESULTS
Our attack method is based on an inter-keystroke timing dictionary built from a human cognitive model whose parameters can be determined by a small amount of training data on any users (not necessarily the target victims).,METHODS
Comparing the original network's and the resulting surrogates' global characteristics allows to quantify to what extent these characteristics are already predetermined by the spatial embedding of the nodes and links.,METHODS
"The proposed pipeline loosely couples direct odometry and feature-based SLAM to perform three levels of parallel optimizations: (1) photometric bundle adjustment (BA) that jointly optimizes the local structure and motion, (2) geometric BA that refines keyframe poses and associated feature map points, and (3) pose graph optimization to achieve global map consistency in the presence of loop closures.",METHODS
"With these timely results, the paper contributes to the ongoing large-scale empirical research on the use of encryption technologies.",CONCLUSIONS
"Once compromised infrastructures are cleaned up, threat actors are moving to on to other target infrastructures or simply changing attack strategies.",BACKGROUND
Properties of this algorithm are discussed and demonstrated using artificial datasets.,OBJECTIVES
"This paper focuses on hyperspectral image super-resolution (HSI-SR), where a hyperspectral image (HSI) with low spatial resolution (LR) but high spectral resolution is fused with a multispectral image (MSI) with high spatial resolution (HR) but low spectral resolution to obtain HR HSI.",OBJECTIVES
Experiments demonstrate show that our proposed algorithm can generate complex stabilization strategies for a simulated robot under varying initial pushes and environment shapes.,CONCLUSIONS
"NOAA's Storm Events Database is undoubtedly an invaluable resource to the general public, to the professional, and to the researcher.",BACKGROUND
"Our model factorizes the image inpainting process into segmentation prediction (SP-Net) and segmentation guidance (SG-Net) as two steps, which predict the segmentation labels in the missing area first, and then generate segmentation guided inpainting results.",METHODS
"Separate selling of two independent goods is shown to yield at least 62% of the optimal revenue, and at least 73% when the goods satisfy the Myerson regularity condition.",RESULTS
"The first stage of our network predicts pixelwise class labels, while the second stage provides a precise location using two branches.",OBJECTIVES/METHODS
"Naturally, CNN is designed to learn classification method based on shape information, but we proved that CNN can also learn classification based on color distribution.",OTHERS
"However, the problem of computing these fugacities is NP-hard.",OBJECTIVES
Path planning is typically considered in Artificial Intelligence as a graph searching problem and R* is state-of-the-art algorithm tailored to solve it.,BACKGROUND
"Finally, the context and applications of the work are summarized in a general discussion.",CONCLUSIONS
"As a consequence, ICC is a common source of security vulnerability in Android apps.",BACKGROUND
"Using the cohomology theory of Dwork, as developed by Adolphson and Sperber, we exhibit a deterministic algorithm to compute the zeta function of a nondegenerate hypersurface defined over a finite field.",RESULTS/CONCLUSIONS
We define an expressive effect system and prove safety of operational semantics with respect to it.,RESULTS
A point of a digital space is called simple if it can be deleted from the space without altering topology.,BACKGROUND
Processing real outage data is fundamental for understanding cascading and for evaluating the validity of the many different models and simulations that have been proposed for cascading in power networks.,BACKGROUND
We analyze and visualize the messages that these GANs share among themselves in various scenarios.,RESULTS
We discuss some of the challenges posed by this approach to formalizing homotopy-theoretic material.,OBJECTIVES
Monitoring the number of insect pests is a crucial component in pheromone-based pest management systems.,BACKGROUND
"With evaluations on multiple datasets such as Fashion-MNIST, CelebA, CIFAR10, and Chairs, we show that our model is probabilistically interpretable, and generates realistic image samples of high visual fidelity.",RESULTS
"A complete investigation of the damage estimates, injuries or fatalities figures is unfeasible due to the extension of the database.",METHODS
"Since all cyber events were validated by analysts, our dataset is unlikely to have false positives which are often endemic in other sources of data.",METHODS
"With increased focus on deploying deep neural networks on resource constrained devices like smart phones, there has been a push to evaluate why these models are so resource hungry and how they can be made more efficient.",OBJECTIVES
This article presents the prediction difference analysis method for visualizing the response of a deep neural network to a specific input.,OBJECTIVES
"In particular, the open question of whether every language generated by a valence grammar over a finite monoid is context-free is provided with a positive answer.",RESULTS
"However, its good generalization ability is built on large numbers of hidden neurons, which is not beneficial to real time response in the test process.",BACKGROUND/OBJECTIVES
Computational grids to provide a user to solve large scale problem by spreading a single large computation across multiple machines of physical location.,METHODS/RESULTS
"In this note we shall introduce a simple, effective numerical method for solving partial differential equations for scalar and vector-valued data defined on surfaces.",OBJECTIVES
In this work we combine two research threads from Vision/ Graphics and Natural Language Processing to formulate an image generation task conditioned on attributes in a multi-turn setting.,OBJECTIVES
"We present a composed study of three cases to show potential variability in the natures of floodings,as well as the impact and applicability of data sources.",RESULTS
The proposed technique increases the accuracy and robustness of isogeometric analysis for wave propagation problems.,CONCLUSIONS
"Color composition is a critical aspect of visual applications in art, design, and visualization.",BACKGROUND
"However, the architecture of 3D CNNs is relatively shallow against to the success of very deep neural networks in 2D-based CNNs, such as residual networks (ResNets).",BACKGROUND
"In this paper, we explore the compositional generalization capabilities of recurrent neural networks (RNNs).",OBJECTIVES
This is a bottle-neck in memory constraint on-device training applications like federated learning and on-device inference applications like automatic speech recognition (ASR).,BACKGROUND
This mainly leads to learning an opening book.,OBJECTIVES
We provide the stability analysis of the asynchronous variant in the round-robin scheme and compare it with the more common parallelized method ADMM.,OBJECTIVES
We also discuss local (online) protocols and compare them with the optimal procedure.,RESULTS
Our methodology differs from similar solutions in its expert-driven design.,CONCLUSIONS
"In order to avoid the state space explosion problem encountered in the quantitative analysis of large scale PEPA models, a fluid approximation approach has recently been proposed, which results in a set of ordinary differential equations (ODEs) to approximate the underlying continuous time Markov chain (CTMC).",BACKGROUND
Simulations result shows the algorithm provides substantial security in just five encryption rounds.,RESULTS/CONCLUSIONS
The fused image is reconstructed by inverse DTCWT.,METHODS
The input anomaly detection approach is able to detect  [NUM] % of Trojan triggers although with  [NUM] % false positive.,RESULTS
Applying our approach to student trace data from the online educational platform Duolingo we achieved highest score on both evaluation metrics for all three datasets in the 2018 Shared Task on Second Language Acquisition Modeling.,OBJECTIVES/RESULTS
The part of this characterisation that concerns covering dimension extends to higher dimensions and to closed shrinkings of finite open covers.,RESULTS
"Using the approach presented in this paper, bibliometricians are able to carry out sophisticated cluster analyses without the need to have a deep knowledge of clustering techniques and without requiring advanced computer skills.",CONCLUSIONS
The center is able to directly communicate with all sites.,OBJECTIVES
"A questionnaire survey was administrated to all full-time and part-time teachers at the Universitat Oberta de Catalunya and the Universitat Pompeu Fabra, both in Barcelona, Spain.",METHODS
We investigate the abrupt breakdown behavior of coupled distribution grids under load growth.,OTHERS
The results of this study may help to better understand the state-of-the-art techniques that use machine learning and meta-heuristics to deal with the complexity of software optimization for parallel computing systems.,RESULTS
Sixty-two atherosclerotic participants at high cardiovascular risk were involved in this study.,METHODS
"Through permutation of target-reaching conditions, we demonstrate that the proposed is capable of rapidly learning kinematics of the system without a priori knowledge, and is robust to (A) changing environmental reward and kinematics, and (B) occluded vision.",RESULTS/CONCLUSIONS
The rich structure of the created tree further allows the segmentation of text in a linear fashion at various levels of granularity.,METHODS
Our main result is that the length of any 'nontrivial' derivation in such a system is bound by a polynomial.,BACKGROUND/RESULTS
"At the time this paper was written our models ranked the first in KITTI car detection (the hard level), the first in cyclist detection and the second in pedestrian detection.",RESULTS
"Furthermore, both MDE and non-MDE tools are becoming effective development resources in industry.",RESULTS/CONCLUSIONS
Numerical tests on a real-world 56-bus distribution grid and the IEEE 123-bus test feeder relying on both grid models corroborate the advantages of the novel schemes over their deterministic alternatives.,RESULTS/CONCLUSIONS
"In this paper, we introduce the problem of synthesizing a property-preserving platform mapping: A set of implementation decisions ensuring that a desired property is preserved from a high-level design into a low-level platform implementation.",OBJECTIVES
"We further show how this formulation of AD can be fruitfully combined with multi-stage programming (staging), leading to a highly efficient implementation that combines the performance benefits of deep learning frameworks based on explicit reified computation graphs (e.g., TensorFlow) with the expressiveness of pure library approaches (e.g., PyTorch).",RESULTS
"We show that the improved performance stems from the combination of a deep, high-capacity model and an augmented training set: this combination outperforms both the proposed CNN without augmentation and a ""shallow"" dictionary learning model with augmentation.",RESULTS
This review focuses on categorizing and discussing the existing works of weighted MinHash algorithms.,METHODS
"To improve upon distant pointing, we propose MPP3D, which is especially suitable for high-resolution displays.",OBJECTIVES
"However, the latent variables in VAEs are vectors, which can be interpreted as multiple feature maps of size 1x1.",BACKGROUND
"We show that by exploiting the nonstationarity of distributions, both cause-effect pairs and two kinds of causal graphs are identifiable under mild conditions.",RESULTS/CONCLUSIONS
"In recent years, the world has seen many major breakthroughs in this field.",BACKGROUND
"Therefore, in this paper, we propose an adaptive LSB substitution method using uncorrelated color space, increasing the property of imperceptibility while minimizing the chances of detection by the human vision system.",OBJECTIVES/METHODS
This enables reliable communication over multipath channels and makes the communication scheme suitable for commodity hardware with imprecise oscillators.,RESULTS
There are around 70 Electronic Control Units (ECUs) in modern vehicle which are communicating with each other over the standard communication protocol known as Controller Area Network (CAN-Bus) that provides the communication rate up to 1Mbps.,BACKGROUND
Our experiments show that dCMF significantly outperforms previous CMF algorithms in integrating heterogeneous data for predictive modeling.,RESULTS/CONCLUSIONS
Cryptography is an important field in the area of data encryption.,BACKGROUND
"However, it is questionable whether it is correct to use the fixed and predefined weights at the mapping units of all paths.",OBJECTIVES
Both methods require a family of Probability Laws (PLs) that represent normal properties of traffic.,METHODS
"This paper presents a new framework, termed Partitioned Variational Inference (PVI), that explicitly acknowledges these algorithmic dimensions of VI, unifies disparate literature, and provides guidance on usage.",OBJECTIVES/METHODS/RESULTS
We outline a program in the area of formalization of mathematics to automate theorem proving in algebra and algebraic geometry.,OBJECTIVES/RESULTS
Stack Overflow answerers are aware that some of their snippets are outdated.,RESULTS
This segmentation approach includes a novel transformation of trajectories along with a dynamic programming approach for segmentation.,METHODS
"In such contracts, manufacturers define the composition of products in the form of recipes.",OBJECTIVES
"In order to generalize our study, we consider channel estimation error in the decomposition process and the interference between the eigenchannels.",OBJECTIVES
Network slicing to enable resource sharing among multiple tenants --network operators and/or services-- is considered a key functionality for next generation mobile networks.,BACKGROUND
The design of programming languages able to handle both XML and RDF data is a key target in this context.,BACKGROUND
"In recent years, depth sensors have become a popular approach to obtain three-dimensional information.",BACKGROUND
"We show that one of the D-well-founded semantics, defined by Pelov, Denecker, and Bruynooghe for a broader class of aggregates using approximating operators, coincides with the well-founded model as defined in this work on LPAma programs.",RESULTS
We build a drone whose sole purpose is to crash into objects: it samples naive trajectories and crashes into random objects.,METHODS
"End-to-end trained Recurrent Neural Networks (RNNs) have been successfully applied to numerous problems that require processing sequences, such as image captioning, machine translation, and text recognition.",BACKGROUND
"In the encoding layer, we employ classic skip-gram model to the syntactic and semantic information of the words to train a new kind of embedding layer.",METHODS
"In the Internet-of-Things, the number of connected devices is expected to be extremely huge, i.e., more than a couple of ten billion.",BACKGROUND
Two examples are demonstrated in detail.,METHODS
"For sparse networks and interest in large-scale structures, longer timescales may be more appropriate.",BACKGROUND
The new algorithm is referred to as SOMP-NS where NS stands for noise stabilization.,OBJECTIVES
The system is then allowed to open parking barrier for the vehicle and generate entrance cost receipt.,METHODS
"We also introduce chord conditioning, which allows all of these operations to be performed while keeping harmony fixed, and allows chords to be changed while maintaining musical ""style"".",OBJECTIVES/METHODS/RESULTS
"However, many existing clock synchronization algorithms update clock values abruptly, resulting in discontinuous clocks which have been shown to lead to undesirable behavior.",BACKGROUND
Contexts play an important role in the saliency detection task.,BACKGROUND
"To extend its applicability outside of image-based domains, we propose to learn a metric which captures perceptual similarity.",OBJECTIVES
"We present a Few-Shot Relation Classification Dataset (FewRel), consisting of 70, 000 sentences on 100 relations derived from Wikipedia and annotated by crowdworkers.",OBJECTIVES
One of the most privacy concerning aspect is the exchange of personal information to third parties.,RESULTS/CONCLUSIONS
"This paper presents a support vector regression model to produce solar power forecasts on a rolling basis for 24 hours ahead over an entire year, to mimic the practical business of energy forecasting.",METHODS
"Recently Long Term Evolution (LTE) emerged as a broadband communication technology that has a potential to transform the capabilities of public safety technologies by providing broadband, ubiquitous, and mission-critical voice and data support.",CONCLUSIONS
We discuss practical implications of these results and suggest heuristics to cope with privacy concerns when designing IoT systems.,OTHERS
"If they can somehow predict the impact of a given message or manipulate it in order to amplify how long it will spread, it would give them a huge advantage over their competitors.",OTHERS
A distinctive feature of our approach is the ability to express properties of minimal (e.g. shortest) and maximal (e.g. most valuable) paths satisfying given criteria.,METHODS
It is desirable that the summoned party have enough freedom to produce a fake output that is likely plausible given the eavesdropper's observation.,BACKGROUND
"Using a shared response model, we show that different neural networks encode the same input examples as different orthogonal transformations of an underlying shared representation.",METHODS/RESULTS/CONCLUSIONS
"Furthermore, a brief introduction to 3-D IQA is provided and the issues related to this area of research are reviewed.",OBJECTIVES
"Recently, Large-margin Softmax and Angular Softmax have been proposed to incorporate the angular margin in a multiplicative manner.",BACKGROUND
Difference sets and their generalisations to difference families arise from the study of designs and many other applications.,BACKGROUND
We approach these by adapting an existing NEER method to work on noisy data like the Web and the Blogosphere in particular.,METHODS
"We use these lay- ers in combination with standard neural network layers to directly implement fluid dynamics inside a deep network, where the parameters of the network are the fluid parameters themselves (e.g., viscosity, cohesion, etc.).",METHODS
"In this paper, we show how unsupervised sense representations can be used to improve hypernymy extraction.",OBJECTIVES
"Moreover, this approximation can be controlled by the amount of redundancy and the number of nodes used in each iteration.",RESULTS
"In this paper, we propose a convolutional neural network(CNN) with 3-D rank-1 filters which are composed by the outer product of 1-D filters.",OBJECTIVES
"In particular, we propose a non-negative group-sparsity regularized optimization problem with the goal of localizing and characterizing the biological cells involved in the said assays.",RESULTS
"These algorithms are asymmetric regarding encoding/decoding time and memory requirements, with the former being much more demanding.",BACKGROUND
"It has 8Gbps processing speed stand-alone to find almost 1000 possibly correct (IP, Domain) per day for the each specific string and to correct almost 200.",RESULTS
"Among them, incremental sampling-based motion planning algorithms, such as the Rapidly-exploring Random Trees (RRTs), and the Probabilistic Road Maps (PRMs) have become very popular recently, owing to their implementation simplicity and their advantages in handling high-dimensional problems.",BACKGROUND
"We present the implementation of this algorithm for MAVs and environments simulated within Microsoft AirSim, and discuss the results and the advantages of collaborative localization.",RESULTS
The optimal degree-of-freedom (DoF) region of the non-coherent multiple-access channels is still unknown in general.,BACKGROUND
"Overall, our CIDEnt-reward model achieves the new state-of-the-art on the MSR-VTT dataset.",RESULTS
The goal is to ensure a radial final configuration (called a spanning tree in the algorithms literature) that spans all network buses and connects them to the substation (called the root of the tree) through a single path.,OBJECTIVES
"Chinese characters are mainly logographic and consist of basic radicals, however, previous research mostly treated each Chinese character as a whole without explicitly considering its internal two-dimensional structure and radicals.",OBJECTIVES
"We study the qualitative patterns of relations between endogenous disciplines within each classification, and finally show the complementarity of classifications and of their associated interdisciplinarity measures.",RESULTS
"Approximate Symbol error rate (SER) expressions are derived for receive diversity system employing optimum combining, when both the desired and the interfering signals are subjected to Rician fading, for the case of a) equal power uncorrelated interferers b) unequal power interferers c) interferer correlation.",OBJECTIVES
We demonstrate that the network outputs quantifiably different lensing maps when given input CMB maps generated with different cosmologies.,RESULTS
In our experiments state-of-the-art algorithms show excellent performance when tested at the same location where they were trained.,RESULTS/CONCLUSIONS
Here we show that the consequences of this statement are surprising and funny.,RESULTS
"However, in this paper we show that cNMI violates the so-called proportionality assumption.",OBJECTIVES
"Besides their known benefits, microservice architecture also enables to mix and match cloud applications and Network Function Virtualization (NFV) services (service chains), which are composed of Virtual Network Functions (VNFs).",BACKGROUND
"Our algorithm exactly computes vertex- and halfspace-representations of the polytope using an oracle producing resultant vertices in a given direction, thus avoiding walking on the polytope whose dimension is alpha-n-1, where the input consists of alpha points in Z^n.",RESULTS
We propose and examine a design that takes particular advantage of recent advances in the understanding of both Convolutional Neural Networks as well as ResNets.,OTHERS
"Moreover, the paper also discusses concepts of resource scheduling and application scheduling and also presents classification of scheduling algorithms.",METHODS/RESULTS
"Hence, fast design and learning cycles are necessary to adapt robot shape and behavior to their environment.",OBJECTIVES/METHODS
Extensive experiments show that our model can achieve the state-of-the-art performance and get finer texture details.,RESULTS/CONCLUSIONS
We validate the accuracy of our system on public datasets and compare against other state-of-the-art algorithms.,RESULTS
We conclude that Google Scholar presents a broader view of the academic world because it has brought to light a great amount of sources that were not previously visible.,CONCLUSIONS
"However, these data structures generate some maintenance overhead.",BACKGROUND
"The research approach and results of this project not only can improve DV prevention process, but also be applied to other social work or criminal prevention areas.",OTHERS
"Secondly, current evaluation metrics fall short of measuring the agreement between machine generated descriptions with that of humans.",RESULTS
Recently virtual platforms and virtual prototyping techniques have been widely applied for accelerating software development in electronics companies.,BACKGROUND
(log n)^(2+o(1))) bit-operations.,RESULTS
"A comprehensive evaluation demonstrates that the proposed warp outperforms some state-of-the-art warps, including homography, APAP, AutoStitch, SPHP and GSP.",RESULTS/CONCLUSIONS
"However, they cannot function when the whole data center is overloaded.",BACKGROUND
"Unfortunately, privacy concerns and data protection laws prevent network operators from sharing these data.",BACKGROUND
"At the moment, the available algorithms are correct but not optimal, i.e., they cannot fully exploit the information conveyed by the abstract domains.",BACKGROUND/OBJECTIVES
"The fundamental of our algorithm is that the users will first self-organize into a number of non-overlapping neighborhoods, and the user with the maximum node degree in each neighborhood is elected as the local leader (LL).",METHODS
Data communication in cloud-based distributed stream data analytics often involves a collection of parallel and pipelined TCP flows.,BACKGROUND
"For the Message and Transmitter Deniability problems, we fully characterise the capacity region for general broadcast channels, while for the Receiver Deniability problem, we give an achievable rate region for physically degraded broadcast channels.",RESULTS
